tier,n,roc_auc,avg_prec,f1
Spectroscopic (1.0),2032,0.9696851044193315,0.9586775719238849,0.9195278969957081
Structural (3.0),1302,0.9951863335590483,0.9945139436322201,0.9742310889443059
